indeks,korak,navodila
0,1.,"Šarenki filiramo in odstranimo vse kosti. Ribo nasekljamo, dodamo jajci, drobtine, skuto, česen, čebulo in peteršilj. Premešamo, da dobimo homogeno maso in oblikujemo cmočke poljubne velikosti. Cmočke kuhamo na sopari cca. 10 minut. "
0,2.,"Za juho najprej prepražimo čebulo, dodamo strt česen in vso zelenjavo, narezano na kocke. Pražimo cca. 2 do 3 minute in zalijemo z vinom. Dušimo do mehkega. "
0,3.,Proti koncu dodamo smetano in vse skupaj dobro zmeljemo v gladko kremno juho. Dodamo ji ribje cmočke in postrežemo.
1,1.,"Če špargljeve jušne osnove nimamo, jo lahko pripravimo tudi sami. Šparglje olupimo in jim odrežemo konce. Olupke in odrezane konce prelijemo z vodo, začinimo s ščepcem soli in sladkorja ter zavremo. Ko voda zavre, zmanjšamo temperaturo in vse skupaj kuhamo še 10 minut tik pod vreliščem. Tako pripravljeno špargljevo jušno osnovo precedimo, dobro ožamemo tudi olupke in konce špargljev."
1,2.,"V loncu raztopimo maslo, potresemo z moko in zarumenimo. Lonec odstavimo s štedilnika in med stalnim mešanjem z metlico prilijemo špargljevo jušno osnovo. Zavremo in pustimo, da pri nizki temperaturi rahlo vre še 10 minut. Nato primešamo sladko smetano in začinimo s soljo, sladkorjem in poprom. Za žličnike na drobno sesekljamo šunko in čemaž ter premešamo. Dodamo jajci in drobtine ter mešamo dalje, da nastane kremasta masa. Začinimo jo s soljo, poprom in muškatnim oreškom ter pustimo, da nekaj minut počiva."
1,3.,"Medtem v loncu zavremo vodo, nato zmanjšamo temperaturo, da voda samo še rahlo vre. Z 2 mokrima žličkama zajamemo maso s šunko in čemažem, oblikujemo žličnike in jih 5 minut kuhamo v vodi tik pod vreliščem. Žličnike vzamemo iz vode, jih stresemo v špargljevo kremno juho skupaj s sesekljanimi kuhanimi špargljevimi stebli in okrasimo z listki krebuljice."
2,1.,"V vrelo slano vodo postopoma vsujemo koruzno moko in ves čas mešamo, da ne nastanejo grude."
2,2.,Vmešamo skuto in začinimo.
2,3.,"V ponvi na maslu popečemo kocke kruha in z njimi obložimo juho, lahko pa vanjo naribamo kuhan, ohlajen krompir."
20,1.,"Če špargljeve jušne osnove nimamo, jo lahko pripravimo tudi sami. Šparglje olupimo in jim odrežemo konce. Olupke in odrezane konce prelijemo z vodo, začinimo s ščepcem soli in sladkorja ter zavremo. Ko voda zavre, zmanjšamo temperaturo in vse skupaj kuhamo še 10 minut tik pod vreliščem. Tako pripravljeno špargljevo jušno osnovo precedimo, dobro ožamemo tudi olupke in konce špargljev."
20,2.,"V loncu raztopimo maslo, potresemo z moko in zarumenimo. Lonec odstavimo s štedilnika in med stalnim mešanjem z metlico prilijemo špargljevo jušno osnovo. Zavremo in pustimo, da pri nizki temperaturi rahlo vre še 10 minut. Nato primešamo sladko smetano in začinimo s soljo, sladkorjem in poprom. Za žličnike na drobno sesekljamo šunko in čemaž ter premešamo. Dodamo jajci in drobtine ter mešamo dalje, da nastane kremasta masa. Začinimo jo s soljo, poprom in muškatnim oreškom ter pustimo, da nekaj minut počiva."
20,3.,"Medtem v loncu zavremo vodo, nato zmanjšamo temperaturo, da voda samo še rahlo vre. Z 2 mokrima žličkama zajamemo maso s šunko in čemažem, oblikujemo žličnike in jih 5 minut kuhamo v vodi tik pod vreliščem. Žličnike vzamemo iz vode, jih stresemo v špargljevo kremno juho skupaj s sesekljanimi kuhanimi špargljevimi stebli in okrasimo z listki krebuljice."
21,1.,"V vrelo slano vodo postopoma vsujemo koruzno moko in ves čas mešamo, da ne nastanejo grude."
21,2.,Vmešamo skuto in začinimo.
21,3.,"V ponvi na maslu popečemo kocke kruha in z njimi obložimo juho, lahko pa vanjo naribamo kuhan, ohlajen krompir."
22,1.,"Moko in jajce ročno zgnetemo v trdo testo (po potrebi dodamo malo vode). Testo mora biti čim bolj trdo, da ga bo lažje ribati. "
22,2.,"Zgneteno testo naj malo počiva, nato pa ga naribamo v kašo, ki jo kuhamo v osoljenem kropu ali kar neposredno v juhi. Naribano kašo lahko tudi posušimo in shranimo za prihodnjič."
23,1.,"Dobro oprane kumare naribamo v visoko posodo ter jih pokapamo z limoninim sokom in 2 žlicama oljčnega olja, v katerem smo vsaj pol ure namakali strok česna. Dodamo kislo smetano in jogurt ter vse skupaj dobro pretlačimo s paličnim mešalnikom. "
23,2.,"Juho precedimo skozi srednje gosto cedilo, jo solimo in popramo po okusu ter do serviranja postavimo na hladno. "
23,3.,"Kozice odtalimo in jih nanizamo na nabodala ali pa že pripravljena nabodala odtalimo, nato pa kozice premažemo z oljčnim oljem in jih na žaru ali v ponvi pečemo približno 2 minuti na vsaki strani. "
23,4.,Juho nalijemo v skodelice in na vsako skodelico položimo po eno še toplo nabodalo.
24,1.,"Čebulo, česen in ingver olupimo ter narežemo na kocke. Bučo olupimo, ji odstranimo sredico s semeni in jo prav tako nakockamo. "
24,2.,"V loncu na segretem oljčnem olju podušimo česen in čebulo, da posteklenita. Dodamo bučo in ingver ter dušimo približno 2–3 minute. Zalijemo z vinom, nato pa prilijemo še jušno osnovo in kuhamo približno 5 minut. Vmešamo malo nastrgane limetine lupine, pretlačimo s paličnim mešalnikom in precedimo. "
24,3.,"Čisto juho še enkrat zavremo, penasto umešamo smetano ter po okusu solimo in popramo."
25,1.,"Kumaro razpolovimo, po potrebi odstranimo semena, in narežemo na kocke ter postavimo v zmogljiv mešalnik / blender. "
25,2.,"Avokado razpolovimo, kost odstranimo, meso pa dodamo h kumaram."
25,3.,"Dodamo še sesekljano mlado čebulo, jogurt, baziliko, peteršilj, meto, sok polovice limone, strok česna, sol, poper, balzamični kis in kanec oljčnega olja."
25,4.,"Vse sestavine zmiksamo do gladkega. Po potrebi med mešanjem dodamo kanec vode, odvisno kako gosto juho želimo."
25,5.,"Juho postavimo v hladilnik za približno 4 ure, da se ohladi."
25,6.,"Juho postrežemo ohlajeno, okrasimo jo lahko z rezinami kumare, žlico jogurta in pokapljamo z oljčnim oljem."
26,1.,"Paradižniku primešamo papriko v prahu, baziliko, sol in sladkor ter ga za približno 3 ure postavimo v hladilnik. Nato ga z mešalnikom pretlačimo v juho, umešamo oljčno olje in limonin sok ter dobro začinimo s soljo in poprom."
26,2.,"Piščančji file narežemo na trakove, ki jih začinimo s provansalskimi zelišči, soljo in poprom. Nataknemo jih na nabodala in jih v vroči naoljeni ponvi pečemo približno 3 minute na vsaki strani."
26,3.,Juho prelijemo v skledice in jo pokapamo z malo oljčnega olja. Na vsako skledico položimo piščančje nabodalo in okrasimo s svežo baziliko.
3,1.,"Moko in jajce ročno zgnetemo v trdo testo (po potrebi dodamo malo vode). Testo mora biti čim bolj trdo, da ga bo lažje ribati. "
3,2.,"Zgneteno testo naj malo počiva, nato pa ga naribamo v kašo, ki jo kuhamo v osoljenem kropu ali kar neposredno v juhi. Naribano kašo lahko tudi posušimo in shranimo za prihodnjič."
4,1.,"Dobro oprane kumare naribamo v visoko posodo ter jih pokapamo z limoninim sokom in 2 žlicama oljčnega olja, v katerem smo vsaj pol ure namakali strok česna. Dodamo kislo smetano in jogurt ter vse skupaj dobro pretlačimo s paličnim mešalnikom. "
4,2.,"Juho precedimo skozi srednje gosto cedilo, jo solimo in popramo po okusu ter do serviranja postavimo na hladno. "
4,3.,"Kozice odtalimo in jih nanizamo na nabodala ali pa že pripravljena nabodala odtalimo, nato pa kozice premažemo z oljčnim oljem in jih na žaru ali v ponvi pečemo približno 2 minuti na vsaki strani. "
4,4.,Juho nalijemo v skodelice in na vsako skodelico položimo po eno še toplo nabodalo.
5,1.,"Čebulo, česen in ingver olupimo ter narežemo na kocke. Bučo olupimo, ji odstranimo sredico s semeni in jo prav tako nakockamo. "
5,2.,"V loncu na segretem oljčnem olju podušimo česen in čebulo, da posteklenita. Dodamo bučo in ingver ter dušimo približno 2–3 minute. Zalijemo z vinom, nato pa prilijemo še jušno osnovo in kuhamo približno 5 minut. Vmešamo malo nastrgane limetine lupine, pretlačimo s paličnim mešalnikom in precedimo. "
5,3.,"Čisto juho še enkrat zavremo, penasto umešamo smetano ter po okusu solimo in popramo."
6,1.,"Kumaro razpolovimo, po potrebi odstranimo semena, in narežemo na kocke ter postavimo v zmogljiv mešalnik / blender. "
6,2.,"Avokado razpolovimo, kost odstranimo, meso pa dodamo h kumaram."
6,3.,"Dodamo še sesekljano mlado čebulo, jogurt, baziliko, peteršilj, meto, sok polovice limone, strok česna, sol, poper, balzamični kis in kanec oljčnega olja."
6,4.,"Vse sestavine zmiksamo do gladkega. Po potrebi med mešanjem dodamo kanec vode, odvisno kako gosto juho želimo."
6,5.,"Juho postavimo v hladilnik za približno 4 ure, da se ohladi."
6,6.,"Juho postrežemo ohlajeno, okrasimo jo lahko z rezinami kumare, žlico jogurta in pokapljamo z oljčnim oljem."
7,1.,"Paradižniku primešamo papriko v prahu, baziliko, sol in sladkor ter ga za približno 3 ure postavimo v hladilnik. Nato ga z mešalnikom pretlačimo v juho, umešamo oljčno olje in limonin sok ter dobro začinimo s soljo in poprom."
7,2.,"Piščančji file narežemo na trakove, ki jih začinimo s provansalskimi zelišči, soljo in poprom. Nataknemo jih na nabodala in jih v vroči naoljeni ponvi pečemo približno 3 minute na vsaki strani."
7,3.,Juho prelijemo v skledice in jo pokapamo z malo oljčnega olja. Na vsako skledico položimo piščančje nabodalo in okrasimo s svežo baziliko.
